1 Data Structures and Algorithm Analysis i...,2040.00,Addison Wesley Longman,Weiss,2011年11月,http://item.jd.com/1098492820.html
2 Multimedia Introduction to Programming U...,1157.00,Springer Science Business ...,Gries,2004年10月,http://item.jd.com/1104425373.html
3 Data Structures and Algorithms with Obje...,1683.00,John Wiley Sons,Preiss,1999年08月,http://item.jd.com/1104854397.html
4 "The Domestication of Desire: Women, Weal...",489.00,Princeton University Press,Brenner,1998年07月,http://item.jd.com/1107167021.html
5 Goal,113.00,Candlewick Press MA,Javaherbin,2012年04月,http://item.jd.com/1107881654.html
6 Reiki Fire: New Information about the Or...,159.00,Lotus Press WI,Petter,1998年01月,http://item.jd.com/1109094439.html
7 The Birthday Party Business,286.00,Java Publishing Co,Fife,2010年03月,http://item.jd.com/1109131689.html
8 Nini Towok's Spinning Wheel: Cloth and t...,366.00,Fowler Museum at UCLA,Heringa,2010年08月,http://item.jd.com/1109247475.html
9 Board Game Introduction: Tile-Based Game...,340.00,University Press Org,Source Wikipedia,2013年09月,http://item.jd.com/1109891463.html
10 Sun Microsystems: Hardware de Sun Micros...,230.00,Books LLC,Source Wikipedia,2011年05月,http://item.jd.com/1110012517.html
